  (Euclidean SMT:  100 points,  length = 108.7022851261618,  0.11 seconds)
  (Euclidean SMT:  100 points,  length = 113.6759120948477,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 104.5820405105540,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 111.4942583514546,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 103.56301187123626,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 109.14407556753766,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 104.2288852434997,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 105.24224972632308,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 106.1214385280029,  0.16 seconds)
  (Euclidean SMT:  100 points,  length = 105.3293701023275,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 111.9343265458309,  0.21 seconds)
  (Euclidean SMT:  100 points,  length = 109.52834511026696,  0.18 seconds)
  (Euclidean SMT:  100 points,  length = 107.6164692161994,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 108.14246573183762,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 105.8898823975833,  0.11 seconds)
  (Euclidean SMT:  100 points,  length = 106.6875255455962,  0.18 seconds)
