  (Euclidean SMT:  100 points,  length = 118.5207186605960,  0.44 seconds)
  (Euclidean SMT:  100 points,  length = 124.0300374866241,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 120.57826759936864,  0.32 seconds)
  (Euclidean SMT:  100 points,  length = 121.6540175994073,  0.20 seconds)
  (Euclidean SMT:  100 points,  length = 121.7110162680713,  0.39 seconds)
  (Euclidean SMT:  100 points,  length = 122.4538037692093,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 125.8212831590036,  0.36 seconds)
  (Euclidean SMT:  100 points,  length = 114.6973676986978,  0.33 seconds)
  (Euclidean SMT:  100 points,  length = 117.3943580075547,  0.37 seconds)
  (Euclidean SMT:  100 points,  length = 121.1268080877266,  0.24 seconds)
  (Euclidean SMT:  100 points,  length = 120.0892568290396,  0.61 seconds)
  (Euclidean SMT:  100 points,  length = 119.6608025369091,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 118.0459421529355,  0.31 seconds)
  (Euclidean SMT:  100 points,  length = 118.5601673126271,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 120.3138832489399,  0.28 seconds)
  (Euclidean SMT:  100 points,  length = 113.21154697669568,  0.17 seconds)
