  (Euclidean SMT:  100 points,  length = 852.9100946862350,  0.19 seconds)
  (Euclidean SMT:  100 points,  length = 868.9756098789098,  0.41 seconds)
  (Euclidean SMT:  100 points,  length = 787.0522255472901,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 859.3957869970514,  0.27 seconds)
  (Euclidean SMT:  100 points,  length = 844.4388828558385,  0.39 seconds)
  (Euclidean SMT:  100 points,  length = 817.3521335881805,  0.22 seconds)
  (Euclidean SMT:  100 points,  length = 849.2458112007230,  0.29 seconds)
  (Euclidean SMT:  100 points,  length = 877.8973031412425,  0.35 seconds)
  (Euclidean SMT:  100 points,  length = 879.8824695557006,  0.23 seconds)
  (Euclidean SMT:  100 points,  length = 821.9668066827311,  0.25 seconds)
  (Euclidean SMT:  100 points,  length = 880.5953982255297,  0.48 seconds)
  (Euclidean SMT:  100 points,  length = 874.3318637141908,  0.55 seconds)
  (Euclidean SMT:  100 points,  length = 870.5083772194988,  0.26 seconds)
  (Euclidean SMT:  100 points,  length = 780.4907156211628,  0.15 seconds)
  (Euclidean SMT:  100 points,  length = 910.7528703228490,  0.49 seconds)
  (Euclidean SMT:  100 points,  length = 857.8333388408857,  0.25 seconds)
